,Tm,frequentist_mew,frequentist_sigma,name,posterior_mew,posterior_sigma,prior_mew,prior_sigma
102,BKN,2.2886792452830185,3.7128364977979516,Mizra Teletovic,2.9852487135506,2.625371865029843,2.2886792452830185,3.7128364977979516
103,PHO,12.541558441558445,6.411178359776796,Goran Dragic,10.925958518397152,4.627716491731004,7.473275862068962,6.686670018431774
104,SAC,6.460526315789475,6.645300653516233,John Rashall Salmons,6.542771904302465,4.900854573094612,9.31811926605505,7.25669682131049
105,PHO,,,Olexiy Len,,,,
106,LAC,14.991250000000003,6.826789028342679,Blake Austin Griffin,16.625452349565645,4.906152907367801,16.41052631578948,7.055561056943298
107,MIN,,,Shabazz Naige Muhammad,,,,
108,MIL,8.435365853658535,5.015886273636349,Lukas Robin Ridnour,5.239903479473102,3.802366868515483,8.146080760095009,5.830248348351385
109,NOP,0.992857142857143,2.7906641006127875,Joshua Malik Childress,1.6809752275968608,2.5394647833639055,6.646629213483144,6.1245146459972
110,NOP,13.289743589743585,7.337252852494131,Jrue Randall Holiday,10.839636173706829,5.154157182803376,10.35637583892618,7.241841715283127
111,LAL,0.4625,1.8060229095999858,Robert Gregory Sacre,0.8312500000000002,1.277051046356409,0.4625,1.8060229095999858
112,NYK,8.954666666666668,5.538310051109654,Metta World Peace,5.848779470983727,4.238397095557559,9.284433962264146,6.5845404389986735
113,ATL,4.173770491803279,4.649093041794325,John Logan Jenkins III,2.9646630236794174,3.2874052162199603,4.173770491803279,4.649093041794325
114,NYK,4.075641025641027,3.8327263476215965,Pablo Prigioni,3.680128205128206,2.7101467908355796,4.075641025641027,3.8327263476215965
115,PHI,8.864634146341464,6.538970828830592,Spencer Mason Hawes,10.029442409337024,4.3324380374348666,6.900238095238093,5.784204677640164
116,DAL,5.405128205128207,5.486017130662502,Wayne Robert Ellington Jr.,2.9312934266791917,3.668643008170337,4.250936329588015,4.934229319100822
117,UTA,2.2378378378378376,3.460225844164273,Jeremy Evans,6.118876391140484,2.5359357776522238,2.9304347826086956,3.7273647040571487
118,DEN,8.979069767441858,7.842417702069761,Wilson Jamall Chandler,8.774205754563395,5.181131966233306,9.227540983606556,6.90182885141482
119,MIA,3.31,4.156188157434646,Norris Gene Cole II,4.3413023118108,3.048683902225056,3.2662068965517257,4.48561256631966
120,MIL,5.663235294117646,5.599656092690103,Gary Neal,5.8795862645782435,3.8437548473923795,5.9568627450980385,5.285700461936709
121,MIL,8.090666666666667,6.969403098942946,Brandon Emmanuel Knight,6.538076057804065,4.9484978736875895,7.840425531914895,7.027423271235836
122,NOP,12.170312500000001,5.810031187725566,Anthony Marshon Davis,16.11372767857143,4.1083124517460785,12.170312500000001,5.810031187725566
123,TOR,9.665432098765434,6.398363226152801,Amir Jalla Johnson,6.8163020260031315,4.276192820517699,6.627659574468085,5.748587324250715
124,MIA,5.019047619047619,3.5506698291769774,Christopher Claus Andersen,6.39329202887294,2.845626060472576,6.496678966789672,4.757905447514816
125,NYK,6.781818181818183,5.284021341998887,Beno Udrih,5.12201778840077,4.139328277517515,8.775059382422787,6.6595863651332365
126,HOU,3.111627906976743,4.190809951261605,Omri Casspi,6.443879859231214,3.2177347820079034,5.483593749999996,5.022368361635867
127,LAL,,,Elias Harris,,,,
128,MIN,10.371929824561404,6.76388122738959,Ricard Rubio,10.489069662093426,4.564850750556081,10.406122448979595,6.186090657083784
129,BKN,14.810810810810807,6.404571162460315,Brook Robert Lopez,14.805647719569164,4.774100771813382,13.631692307692322,7.161930029781031
130,PHO,5.7569620253164535,5.192221142340047,Anthony Leon Tucker,6.203481012658227,3.6714547791688097,5.7569620253164535,5.192221142340047
131,POR,4.198550724637681,3.834000928141806,Meyers Leonard,3.599275362318841,2.7110480553645884,4.198550724637681,3.834000928141806
132,BKN,5.896969696969694,4.051635273938305,Shaun Livingston,6.158240671026982,3.094327954222695,5.260000000000004,4.793366164155779
133,MEM,7.803703703703704,4.610493785837427,Konstantine Demetrios Koufos,5.109620976264706,3.3532308685402628,4.678707224334602,4.88584545203822
134,ORL,10.185937500000003,6.53368357024533,Arron Agustin Afflalo,11.641766947608415,4.598814056412753,6.836619718309859,6.474135744956099
135,MEM,,,Jamaal Franklin,,,,
136,NYK,6.1722222222222225,5.848818072013025,Kenyon Lee Martin,6.887980137911716,4.100415554695379,8.398679867986797,5.75016701492189
137,HOU,5.205263157894737,5.534244938201694,Terrence Alexander Jones,7.085964912280702,3.9133021245497437,5.205263157894737,5.534244938201694
138,LAC,10.592105263157892,6.032494534163219,Aaron Jamal Crawford,10.889413953326647,4.625111115588579,11.292660550458717,7.204155355720839
139,UTA,10.298611111111112,5.691208938538347,Gordon Daniel Hayward,9.945418290094898,4.38376783210321,7.840476190476188,6.874149627886782
140,TOR,3.6413793103448278,3.8445229506653527,Quincy Jyrome Acy,3.53735632183908,2.7184882488427853,3.6413793103448278,3.8445229506653527
141,UTA,4.031818181818181,4.058181376941433,Jamaal Tinsley,2.3990590211066163,3.2367163638988097,4.795000000000002,5.3657688172339295
142,NOP,5.0487179487179485,5.637710564371548,Brian Roberts,4.249358974358975,3.98646337043416,5.0487179487179485,5.637710564371548
143,MIN,7.864634146341462,5.678250588359049,Corey Wayne Brewer,7.8211672918478925,3.9912656952485306,6.273575129533677,5.6113482504083425
144,SAS,16.651515151515152,6.950937203524873,William Anthony Parker,14.169758692109738,5.090332775892514,14.558852867830423,7.4752611231081
145,ATL,3.541463414634148,5.597472234803244,Cartier Alexander Martin,3.52699289405043,3.5443694318574974,3.155279503105587,4.579401634691579
146,DET,,,Peyton Siva,,,,
147,PHI,12.693421052631585,6.149739736177025,Thaddeus Charles Young,10.903521675826019,4.422598579548993,9.959725400457666,6.364800795739518
148,TOR,,,Dwight Buycks,,,,
149,BOS,6.921739130434783,5.154816786837347,Gerald Jermaine Wallace,6.793973410507546,4.3281821565999055,12.554791154791156,7.968730065889895
150,POR,2.727083333333333,3.376989511343235,Earl Joseph Watson,1.570684713445988,2.835088052487934,5.798511166253104,5.218163331346084
151,CLE,15.752,8.011747374948863,Anderson Franca Varejao,9.106712590381193,4.7232572863815525,9.196853146853153,5.847510727284464
152,NYK,18.4955223880597,8.431965349340794,Carmelo Kyam Anthony,17.54716097664239,5.874686949196642,17.12725060827251,8.189464894804159
153,MIN,,,Gorgui Sy Dieng,,,,
154,CLE,6.843902439024389,5.075793763732454,Alonzo Edward Gee,4.432858033208744,3.6067825331387438,6.429716981132071,5.126099874163623
155,SAC,8.004225352112678,5.638735164828686,Patrick Davell Patterson,5.651712905602735,3.85019325619884,6.468449197860959,5.269944976459029
156,POR,2.4150684931506854,4.761163413505486,William Denard Barton,1.4992009132420094,3.3666509360270194,2.4150684931506854,4.761163413505486
157,DEN,8.923170731707316,4.972124706079073,Andre Lloyd Miller,8.01428323341037,3.943952716290135,11.553263157894744,6.476701961582681
158,GSW,6.871875000000001,4.680760780511539,Andrew Michael Bogut,9.030941283013112,3.770224208696285,11.502739726027395,6.361818310823463
159,PHI,2.2384615384615385,3.063064946080204,Daniel Joseph Orton,2.6186107223089623,2.3725430358676336,2.496551724137931,3.75109021013438
160,SAS,9.634999999999996,5.791799518859977,Emanuel David Ginobili,9.974756430927284,4.574344096365336,13.062397820163481,7.457739444979628
161,OKC,,,Andre Lee Roberson,,,,
162,WAS,9.752459016393443,5.972494510215128,Nene Hilario,12.003024325111502,4.356909574445232,11.857714285714296,6.3698876804245534
163,BKN,6.129230769230771,6.752201306626388,Alan Jeffery Anderson,5.786064345493826,4.641903396367487,5.874390243902441,6.391892940272451
164,HOU,4.086206896551724,4.801452663656255,Francisco Alberto Garcia,5.55701984617345,3.7894377823596606,6.621556886227546,6.170706534343655
165,CLE,6.040677966101693,5.5922803524467515,Earl Rashad Clark,3.3065999559747983,3.546902284209921,3.13502538071066,4.5877282373813815
166,LAC,6.967105263157895,5.96488382023654,Antawn Cortez Jamison,6.8794988910428865,4.6841118084421325,12.63782505910165,7.565523830190982
167,GSW,15.026582278481012,6.252730216043441,David Lee,12.9567370282812,4.5311725744239775,14.265486725663711,6.575541566060693
168,MIL,,,Giannis Antetokounmpo,,,,
169,MIL,,,Nate Wolters,,,,
170,MEM,6.055000000000001,5.527451944612454,Jerryd Andrew Bayless,4.334988205051711,4.154361812872189,5.538834951456313,6.297981898111507
171,ORL,5.568055555555557,4.629759604656981,Jason Dior Maxiell,4.565386885939035,3.3568076316992097,5.347209302325581,4.874149097156221
172,LAC,8.611392405063294,6.242260774767061,Jared Anthony Dudley,5.964690852660741,4.399743074960087,7.351447661469929,6.202284506017586
173,DEN,11.513749999999998,6.1556223030250985,James Edward Hickson,7.804655107881232,4.559098270299056,7.706162464985993,6.785357947242323
174,IND,2.8235294117647074,3.841343118626258,Orlando Vincent Johnson,2.7581932773109252,2.7162397680449075,2.8235294117647074,3.841343118626258
175,MEM,4.157627118644068,5.237938635483914,Michael Lloyd Miller,5.736372598078767,4.05551106771973,7.816369047619048,6.408114268866578
176,LAC,4.025,4.035287061246903,Willie J. Green,2.402313917652424,3.1872515598985167,5.358372093023262,5.196833754397873
177,IND,,,Rasual Butler,,,5.263513513513514,5.721606142020961
178,SAC,3.4959459459459468,3.369033833319447,Charles Edward Hayes Jr.,2.3335640662840724,2.7061424574482924,4.642857142857139,4.5431324728900195
179,MIN,13.314516129032258,6.860049063451782,Nikola Pekovic,10.907893680610222,5.038469820574291,9.049999999999997,7.424298024017171
180,UTA,1.594736842105263,2.8505721834139166,Diante Garrett,2.875146198830409,2.0156589211537232,1.594736842105263,2.8505721834139166
181,MEM,4.562711864406779,4.413918598202073,Quincy Coe Pondexter,2.7482615938289507,2.970225306109606,3.0502645502645516,4.015375532967483
182,DET,13.426315789473682,7.235300314231545,Joshua Smith,11.81860440258476,5.089244975175128,13.847555555555555,7.159851381311564
183,CLE,10.268354430379748,7.03174617389777,Jarrett Matthew Jack,7.621169832203365,4.916488745725131,8.968432671081688,6.876773877065001
184,ORL,6.596052631578947,5.8715514131471185,Maurice Jose Harkless,6.376597744360903,4.151813820321784,6.596052631578947,5.8715514131471185
185,DEN,2.78974358974359,4.873517913923237,Anthony Erwin Randolph Jr.,4.438686382964467,3.8664466629276393,5.863157894736844,6.351402782096892
186,MIA,5.244444444444444,4.647905409037281,Shane Courtney Battier,5.197912944246217,3.4170722445954076,6.760798122065728,5.040925312033378
187,NYK,5.082222222222222,5.122164858680963,Iman Asante Shumpert,5.889656373532095,3.752028168328842,5.850961538461539,5.511543745635987
188,NOP,5.670588235294119,5.085785424049015,Jason Victor Smith,5.8566646315370745,3.4108842257523935,3.987666666666667,4.598392605634663
189,MEM,,,Nick Calathes,,,,
190,GSW,11.456249999999999,6.423625217702229,Andre Tyler Iguodala,13.529492307632031,4.564951664080667,13.828571428571436,6.488496764804309
191,MIL,10.730487804878045,7.669033217671814,Ovinton J'Anthony Mayo,8.946388311086391,5.107627131786961,9.84960835509138,6.847182615374392
192,CHI,,,Tony Snell,,,,
193,CHA,5.689552238805969,5.25544875253814,Joshua Scott McRoberts,6.18617289336064,3.6265091506224074,4.804044117647055,5.010623108878786
194,DEN,7.715189873417724,5.226129303374885,JaVale Lindy McGee,5.53687228878696,3.8920340350871006,7.544067796610174,5.8318947077608705
195,BKN,15.010256410256412,6.878722111189818,Deron Michael Williams,11.074226462469762,5.064255916158865,16.458254716981138,7.483291310698763
196,ORL,10.910714285714283,6.034888996831809,Jameer Nelson,8.703287538283618,4.356238373772716,10.070958904109593,6.2946187420605675
197,CHA,5.297499999999999,4.264797035029921,Bismack Biyombo,5.068102524153951,3.107963867870785,5.064335664335663,4.5386206831493725
198,MIA,13.472972972972972,6.605859342123339,Christopher Wesson Bosh,12.568117099187821,5.020935151838596,16.091943127962107,7.7264444970171064
199,TOR,1.625,2.2498611068241523,Julyan Ray Stone,1.69433259116913,1.7949361620016422,2.0846153846153848,2.977052273085978
200,ORL,3.5614035087719293,4.6343778092950005,Kyle Brandon O'Quinn,4.141812865497076,3.2769999755329517,3.5614035087719293,4.6343778092950005
201,MIL,6.333333333333333,5.48248181370507,James Caron Butler,9.042507415382477,4.4052481316142575,10.859078590785918,7.400214617615996
202,HOU,5.6487804878048795,4.504692510077795,Patrick Beverley,6.727961672473869,3.1852986210362584,5.6487804878048795,4.504692510077795
203,GSW,6.109876543209876,4.732801350863327,Harrison Bryce Jordan Barnes,7.520322886989554,3.346595929204311,6.109876543209876,4.732801350863327
204,WAS,8.397368421052633,5.779841868266005,Martell Webster,9.238852051863438,4.092550855941699,6.707645259938838,5.795672456742311
205,BOS,4.873846153846153,4.86074628404629,Kris Nathan Humphries,4.7224518949784535,3.832835147957753,6.9723577235772325,6.2322654728055635
206,GSW,5.276056338028168,5.2174265090279635,Toney Bernard Douglas,4.463314790224256,4.0084507366760675,5.9662601626016265,6.262103713943532
207,TOR,4.490123456790125,4.982478062077083,Steven Michael Novak,2.8614855990672465,3.4794500507195445,3.859999999999997,4.861136302743028
208,LAL,6.499999999999997,5.530360647271468,Steven Hanson Blake,8.069630539593323,3.8254532321773693,6.145700245700249,5.297185283695803
209,UTA,5.477142857142856,5.80950382510224,Enes Kanter,6.064352939647692,3.7765131966677536,4.647794117647059,4.969849786340521
210,BKN,10.554166666666665,5.713432941080363,Joe Marcus Johnson,11.821212614003551,4.4928424124897255,13.70884353741498,7.27276713132591
211,OKC,1.2552631578947366,2.8866933704428064,Perry James Jones III,2.2609649122807016,2.041200457446359,1.2552631578947366,2.8866933704428064
212,PHI,,,Lorenzo Brown,,,,
