,Tm,frequentist_mew,frequentist_sigma,name,posterior_mew,posterior_sigma,prior_mew,prior_sigma
209,UTA,46.23157889,38.39643918,Enes Kanter,45.893304,11.54875695,43.06047265,12.10949218
210,BRK,77.9589534,23.99467713,Joe Marcus Johnson,80.37441734,8.220380925,80.4188507,8.749886073
211,OKC,12.51524357,17.38146217,Perry James Jones III,20.20628666,9.847157833,15.06969756,11.94985984
212,PHI,,,Lorenzo Brown,,,,
213,DEN,35.67173519,21.87915373,Darrell Antwonne Arthur,40.55417055,11.71589258,44.00956912,13.87240426
214,BRK,9.032375304,15.71148655,Tornike Shengelia,12.18991584,9.255489219,11.74607176,11.45386384
215,OKC,96.4228693,18.03808977,Kevin Wayne Durant,88.67210109,11.24287411,87.520842,14.37717587
216,WAS,44.39034998,24.30592473,Kevin Seraphin,32.05428654,14.99792556,39.97658531,19.05889098
217,DAL,33.57376766,38.35289569,Bernard Ronald James,25.4282446,17.30664728,30.75500887,19.39339922
218,IND,,,Solomon Hill,,,,
219,GSW,75.28579717,27.33026826,Klay Alexander Thompson,72.83820369,15.97398521,62.33264718,19.6867393
220,NOP,,,Jeff Withey,,,,
221,ATL,60.77693013,27.13751956,Louis Williams,53.62068093,12.48874531,56.41930304,14.06684643
222,CHA,39.82760822,23.82932205,Benjamin Gordon,46.66908385,14.45566902,61.77511627,18.18365449
223,DET,76.88922168,26.99885184,Gregory Keith Monroe Jr.,90.11104181,19.82290256,86.50439735,29.19772545
224,MIN,71.60890515,25.75343709,Kevin Wesley Love,89.62282204,16.2335668,86.78717214,20.91106698
225,TOR,29.24781087,28.39201813,Austin Darren Daye,23.49478951,15.15804995,31.66453041,17.92669111
226,HOU,39.76857476,31.8660758,Aaron Jamal Brooks,40.84679151,18.27660138,45.56654589,22.31099483
227,SAC,,,Hamady Barro N'Diaye,,,2.743271173,2.963135086
228,PHI,,,Hollis Thompson,,,,
229,SAS,77.28235234,40.96144793,Tiago Splitter,61.03163447,18.34076594,56.23573347,20.5118328
230,LAC,,,Reginald Ryedell Bullock,,,,
231,CHA,34.26131668,37.34629239,Anthony Lamar Tolliver,41.19865858,23.969832,46.44207209,31.25752096
232,MEM,60.89791977,25.7248389,Anthony Allen,51.10030078,13.53393363,47.15032828,15.91440366
233,ORL,55.81956675,42.94871538,Tobias John Harris,35.73622981,23.15595008,40.85547311,27.49435207
234,PHO,,,Archie Lee Goodwin,,,,
235,DET,11.79900249,16.75268478,Josh Douglas Harrellson,35.6611549,11.2196305,27.7299537,15.1083243
236,ATL,79.85619882,38.09704732,Kyle Elliot Korver,60.52376585,15.86137073,54.93629103,17.4452523
237,WAS,,,Glen Rice ,,,,
