Date,Visitor/Neutral,PTS,Home/Neutral,PTS
"Tue, Nov 24, 2009",PHI,107,WAS,108
"Wed, Nov 25, 2009",PHI,110,BOS,113
"Wed, Nov 25, 2009",TOR,81,CHA,116
"Wed, Nov 25, 2009",CLE,98,DET,88
"Wed, Nov 25, 2009",DAL,130,HOU,99
"Wed, Nov 25, 2009",LAC,73,IND,86
"Wed, Nov 25, 2009",DEN,124,MIN,111
"Wed, Nov 25, 2009",MIL,99,NOH,102
"Wed, Nov 25, 2009",MIA,99,ORL,98
"Wed, Nov 25, 2009",MEM,111,PHX,126
"Wed, Nov 25, 2009",BKN,83,POR,93
"Wed, Nov 25, 2009",NYK,97,SAC,111
"Wed, Nov 25, 2009",GSW,104,SAS,118
"Thu, Nov 26, 2009",ORL,93,ATL,76
"Thu, Nov 26, 2009",CHI,86,UTA,105
"Fri, Nov 27, 2009",TOR,103,BOS,116
"Fri, Nov 27, 2009",CLE,87,CHA,94
"Fri, Nov 27, 2009",NYK,125,DEN,128
"Fri, Nov 27, 2009",LAC,104,DET,96
"Fri, Nov 27, 2009",SAS,92,HOU,84
"Fri, Nov 27, 2009",DAL,113,IND,92
"Fri, Nov 27, 2009",WAS,94,MIA,84
"Fri, Nov 27, 2009",PHX,120,MIN,95
"Fri, Nov 27, 2009",MIL,90,OKC,108
"Fri, Nov 27, 2009",ATL,100,PHI,86
"Fri, Nov 27, 2009",MEM,106,POR,96
"Fri, Nov 27, 2009",BKN,96,SAC,109
"Sat, Nov 28, 2009",DAL,95,CLE,111
"Sat, Nov 28, 2009",LAL,130,GSW,97
"Sat, Nov 28, 2009",ORL,100,MIL,98
"Sat, Nov 28, 2009",POR,92,UTA,108
"Sat, Nov 28, 2009",CHA,92,WAS,76
"Sun, Nov 29, 2009",MIN,106,DEN,100
"Sun, Nov 29, 2009",ATL,88,DET,94
"Sun, Nov 29, 2009",MEM,88,LAC,98
"Sun, Nov 29, 2009",BKN,87,LAL,106
"Sun, Nov 29, 2009",BOS,92,MIA,85
"Sun, Nov 29, 2009",ORL,114,NYK,102
"Sun, Nov 29, 2009",HOU,100,OKC,91
"Sun, Nov 29, 2009",NOH,96,SAC,112
"Sun, Nov 29, 2009",PHI,89,SAS,97
"Sun, Nov 29, 2009",PHX,113,TOR,94
"Mon, Nov 30, 2009",PHI,102,DAL,104
"Mon, Nov 30, 2009",IND,107,GSW,126
"Mon, Nov 30, 2009",CHI,97,MIL,99
"Mon, Nov 30, 2009",MEM,93,UTA,120
"Tue, Dec 1, 2009",BOS,108,CHA,90
"Tue, Dec 1, 2009",GSW,107,DEN,135
"Tue, Dec 1, 2009",NOH,99,LAL,110
"Tue, Dec 1, 2009",PHX,99,NYK,126
"Tue, Dec 1, 2009",MIA,107,POR,100
"Tue, Dec 1, 2009",WAS,106,TOR,102
"Wed, Dec 2, 2009",TOR,115,ATL,146
"Wed, Dec 2, 2009",DET,85,CHI,92
"Wed, Dec 2, 2009",PHX,90,CLE,107
"Wed, Dec 2, 2009",HOU,102,LAC,85
"Wed, Dec 2, 2009",MEM,97,MIN,95
"Wed, Dec 2, 2009",DAL,117,BKN,101
"Wed, Dec 2, 2009",PHI,106,OKC,117
"Wed, Dec 2, 2009",NYK,104,ORL,118
"Wed, Dec 2, 2009",IND,105,SAC,110
"Wed, Dec 2, 2009",MIL,102,WAS,104
"Thu, Dec 3, 2009",MIA,96,DEN,114
"Thu, Dec 3, 2009",HOU,111,GSW,109
"Thu, Dec 3, 2009",BOS,90,SAS,83
"Fri, Dec 4, 2009",NYK,114,ATL,107
"Fri, Dec 4, 2009",CHI,87,CLE,101
"Fri, Dec 4, 2009",MIL,96,DET,105
"Fri, Dec 4, 2009",MIA,107,LAL,108
"Fri, Dec 4, 2009",DAL,82,MEM,98
"Fri, Dec 4, 2009",CHA,91,BKN,97
"Fri, Dec 4, 2009",MIN,89,NOH,98
"Fri, Dec 4, 2009",BOS,105,OKC,87
"Fri, Dec 4, 2009",IND,87,UTA,96
"Fri, Dec 4, 2009",TOR,109,WAS,107
"Sat, Dec 5, 2009",PHI,105,CHA,106
"Sat, Dec 5, 2009",TOR,110,CHI,78
"Sat, Dec 5, 2009",ATL,80,DAL,75
"Sat, Dec 5, 2009",ORL,126,GSW,118
"Sat, Dec 5, 2009",IND,72,LAC,88
"Sat, Dec 5, 2009",UTA,101,MIN,108
"Sat, Dec 5, 2009",SAC,107,PHX,115
"Sat, Dec 5, 2009",HOU,89,POR,90
"Sat, Dec 5, 2009",DEN,106,SAS,99
"Sun, Dec 6, 2009",WAS,94,DET,98
"Sun, Dec 6, 2009",PHX,88,LAL,108
"Sun, Dec 6, 2009",CLE,101,MIL,86
"Sun, Dec 6, 2009",BKN,97,NYK,106
"Sun, Dec 6, 2009",MIA,115,SAC,102
"Mon, Dec 7, 2009",POR,84,NYK,93
"Mon, Dec 7, 2009",GSW,88,OKC,104
"Mon, Dec 7, 2009",DEN,93,PHI,83
"Mon, Dec 7, 2009",SAS,101,UTA,104
"Tue, Dec 8, 2009",MIL,89,BOS,98
"Tue, Dec 8, 2009",DEN,95,CHA,107
"Tue, Dec 8, 2009",BKN,103,CHI,101
"Tue, Dec 8, 2009",PHX,101,DAL,102
"Tue, Dec 8, 2009",ORL,97,LAC,86
"Tue, Dec 8, 2009",CLE,109,MEM,111
"Tue, Dec 8, 2009",SAC,94,NOH,96
"Tue, Dec 8, 2009",MIN,88,TOR,94
"Wed, Dec 9, 2009",CHI,83,ATL,118
"Wed, Dec 9, 2009",CLE,85,HOU,95
"Wed, Dec 9, 2009",POR,102,IND,91
"Wed, Dec 9, 2009",UTA,77,LAL,101
"Wed, Dec 9, 2009",TOR,95,MIL,117
"Wed, Dec 9, 2009",NOH,97,MIN,96
"Wed, Dec 9, 2009",GSW,105,BKN,89
"Wed, Dec 9, 2009",DET,90,PHI,86
"Wed, Dec 9, 2009",SAC,106,SAS,118
"Thu, Dec 10, 2009",DEN,99,DET,101
"Thu, Dec 10, 2009",ORL,111,UTA,120
"Thu, Dec 10, 2009",BOS,104,WAS,102
"Fri, Dec 11, 2009",GSW,91,CHI,96
"Fri, Dec 11, 2009",POR,99,CLE,104
"Fri, Dec 11, 2009",BKN,91,IND,107
"Fri, Dec 11, 2009",MIN,92,LAL,104
"Fri, Dec 11, 2009",OKC,102,MEM,94
"Fri, Dec 11, 2009",DAL,106,MIA,93
"Fri, Dec 11, 2009",NYK,113,NOH,96
"Fri, Dec 11, 2009",HOU,96,PHI,91
"Fri, Dec 11, 2009",ORL,103,PHX,106
"Fri, Dec 11, 2009",CHA,85,SAS,104
"Fri, Dec 11, 2009",ATL,111,TOR,89
"Sat, Dec 12, 2009",BOS,106,CHI,80
"Sat, Dec 12, 2009",CHA,97,DAL,98
"Sat, Dec 12, 2009",PHX,99,DEN,105
"Sat, Dec 12, 2009",GSW,95,DET,104
"Sat, Dec 12, 2009",POR,101,MIL,108
"Sat, Dec 12, 2009",MIN,100,SAC,120
"Sat, Dec 12, 2009",LAL,94,UTA,102
"Sat, Dec 12, 2009",IND,114,WAS,113
"Sun, Dec 13, 2009",BKN,107,ATL,130
"Sun, Dec 13, 2009",SAS,115,LAC,90
"Sun, Dec 13, 2009",MEM,118,MIA,90
"Sun, Dec 13, 2009",CLE,102,OKC,89
"Sun, Dec 13, 2009",HOU,88,TOR,101
"Mon, Dec 14, 2009",NOH,90,DAL,94
"Mon, Dec 14, 2009",OKC,93,DEN,102
"Mon, Dec 14, 2009",WAS,95,LAC,97
"Mon, Dec 14, 2009",BOS,110,MEM,105
"Mon, Dec 14, 2009",IND,98,ORL,106
"Mon, Dec 14, 2009",GSW,101,PHI,117
"Mon, Dec 14, 2009",MIN,110,UTA,108
"Tue, Dec 15, 2009",NYK,87,CHA,94
"Tue, Dec 15, 2009",LAL,96,CHI,87
"Tue, Dec 15, 2009",BKN,89,CLE,99
"Tue, Dec 15, 2009",DET,96,HOU,107
"Tue, Dec 15, 2009",TOR,95,MIA,115
"Tue, Dec 15, 2009",SAS,104,PHX,116
"Tue, Dec 15, 2009",SAC,88,POR,95
"Wed, Dec 16, 2009",MEM,97,ATL,110
"Wed, Dec 16, 2009",HOU,101,DEN,111
"Wed, Dec 16, 2009",SAS,103,GSW,91
"Wed, Dec 16, 2009",CHA,98,IND,101
"Wed, Dec 16, 2009",LAL,107,MIL,106
